name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,movement
Topless,Geeno,[],0.701,0.776,9,-6.723,1,0.174,0.144,0.0,0.118,0.853,91.986,180063,4,walk,"[0.5, 0.6, 0.7]"
Nuketown (feat. Juice WRLD),Ski Mask The Slump God,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap']",0.808,0.617,10,-9.32,0,0.442,0.113,0.0,0.734,0.632,149.962,166400,4,sport,"[0.8, 0.9, 1]"
The Grinch,Trippie Redd,"['melodic rap', 'rap', 'trap']",0.721,0.496,8,-6.296,1,0.0645,0.14,0.000101,0.102,0.18,81.499,91288,4,sport,"[0.8, 0.9, 1]"
R.I.P.,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",0.725,0.725,8,-6.067,0,0.159,0.0119,0.0,0.086,0.515,140.003,192027,4,sport,"[0.8, 0.9, 1]"
Green Dot,YoungBoy Never Broke Again,"['baton rouge rap', 'rap']",0.758,0.701,6,-4.925,1,0.361,0.106,0.0,0.0752,0.693,167.092,186880,4,sport,"[0.8, 0.9, 1]"
Mercury: Retrograde,Ghostemane,"['cloud rap', 'dark trap', 'florida rap']",0.826,0.816,2,-7.345,1,0.345,0.0581,0.00938,0.0593,0.43,156.995,124539,4,sport,"[0.8, 0.9, 1]"
Faneto,Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.849,0.755,1,-7.4,0,0.363,0.346,0.0,0.0564,0.393,144.188,206655,4,sport,"[0.8, 0.9, 1]"
Bonfire,Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",0.506,0.745,1,-6.041,1,0.332,0.0594,0.0,0.373,0.284,161.798,192947,4,sport,"[0.8, 0.9, 1]"
BILLY,6ix9ine,['emo rap'],0.759,0.704,4,-4.03,0,0.3,0.184,0.0,0.104,0.748,90.055,112667,4,sport,"[0.8, 0.9, 1]"
Go Stupid,Polo G,"['chicago rap', 'rap']",0.92,0.833,1,-3.18,1,0.253,0.0277,0.0,0.0596,0.645,141.034,165726,4,sport,"[0.8, 0.9, 1]"
Look At Me!,XXXTENTACION,"['emo rap', 'miami hip hop']",0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,126346,4,sport,"[0.8, 0.9, 1]"
Paris,$uicideboy$,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",0.849,0.648,7,-6.188,1,0.0835,0.0706,0.00636,0.0984,0.195,106.058,111020,4,sport,"[0.8, 0.9, 1]"
Take A Step Back,Ski Mask The Slump God,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap']",0.8,0.591,6,-8.808,1,0.271,0.111,0.0,0.429,0.747,117.003,210387,4,sport,"[0.8, 0.9, 1]"
KNIGHT CRAWLER,Trippie Redd,"['melodic rap', 'rap', 'trap']",0.687,0.772,0,-3.52,1,0.221,0.0429,0.0,0.241,0.445,130.127,177231,4,sport,"[0.8, 0.9, 1]"
Stop Breathing,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",0.856,0.57,9,-4.486,1,0.286,0.00637,0.0,0.0984,0.155,154.967,218943,4,sport,"[0.8, 0.9, 1]"
Bad Bad,YoungBoy Never Broke Again,"['baton rouge rap', 'rap']",0.682,0.809,3,-4.331,0,0.378,0.491,0.0,0.217,0.812,180.088,138683,4,sport,"[0.8, 0.9, 1]"
"Crazy Story, Pt. 3",King Von,['chicago rap'],0.729,0.73,11,-5.14,0,0.261,0.00165,4.33e-05,0.118,0.41,156.953,191399,4,sport,"[0.8, 0.9, 1]"
I Don't Like,Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.986,293840,4,sport,"[0.8, 0.9, 1]"
Achoo,Keith Ape,"['korean trap', 'underground hip hop']",0.659,0.839,2,-4.106,1,0.162,0.167,0.0,0.389,0.624,119.935,244000,4,sport,"[0.8, 0.9, 1]"
NO SNITCHING (with Dusty Locane),Lil Mabu,['meme'],0.729,0.64,1,-8.8,1,0.352,0.0595,0.0,0.348,0.413,156.029,160007,4,sport,"[0.8, 0.9, 1]"
WiFi,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",0.929,0.492,1,-6.701,1,0.387,0.152,0.0,0.108,0.667,120.007,160000,4,sport,"[0.8, 0.9, 1]"
YuNg BrAtZ,XXXTENTACION,"['emo rap', 'miami hip hop']",0.755,0.695,9,-5.963,1,0.26,0.0179,0.0,0.107,0.493,128.063,101851,4,sport,"[0.8, 0.9, 1]"
For the Last Time,$uicideboy$,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",0.844,0.533,1,-9.612,1,0.552,0.0735,3.46e-06,0.0953,0.23,140.078,156081,4,sport,"[0.8, 0.9, 1]"
Unbothered,Ski Mask The Slump God,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap']",0.884,0.445,1,-10.58,0,0.418,0.222,0.0,0.112,0.851,125.008,138427,4,sport,"[0.8, 0.9, 1]"
I <3 My Choppa,Tay-K,"['cali rap', 'dfw rap', 'rap', 'trap']",0.732,0.47,0,-7.601,0,0.244,0.000279,0.0,0.119,0.411,159.936,105000,4,sport,"[0.8, 0.9, 1]"
New Tank,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",0.819,0.638,10,-4.831,0,0.226,0.031,0.000116,0.152,0.167,150.993,89741,4,sport,"[0.8, 0.9, 1]"
FREEDDAWG,YoungBoy Never Broke Again,"['baton rouge rap', 'rap']",0.74,0.555,1,-10.329,1,0.407,0.00581,1.23e-06,0.296,0.706,173.974,111882,4,sport,"[0.8, 0.9, 1]"
Neva Cared,Polo G,"['chicago rap', 'rap']",0.822,0.35,1,-12.207,0,0.574,0.0213,0.0,0.0757,0.346,77.528,186000,4,sport,"[0.8, 0.9, 1]"
Curse,Bass Santana,"['miami hip hop', 'underground hip hop']",0.556,0.64,11,-7.504,1,0.445,0.552,0.0,0.215,0.703,88.399,118361,5,sport,"[0.8, 0.9, 1]"
Computer Murderers,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",0.672,0.564,1,-10.418,1,0.183,0.000408,0.0,0.0893,0.195,173.007,139533,4,sport,"[0.8, 0.9, 1]"
SUMO | ZUMO,Denzel Curry,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",0.822,0.861,11,-8.846,1,0.0832,0.25,7e-05,0.164,0.548,123.964,227373,4,sport,"[0.8, 0.9, 1]"
Neighborhood Superstar,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",0.821,0.714,2,-5.977,1,0.374,0.109,0.0,0.298,0.665,81.393,235583,4,sport,"[0.8, 0.9, 1]"
3 A.M.,King Von,['chicago rap'],0.885,0.485,1,-7.891,1,0.474,0.0401,0.0,0.103,0.073,139.989,126883,4,sport,"[0.8, 0.9, 1]"
Now I'm up to My Neck with Offers,$uicideboy$,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",0.79,0.858,6,-6.414,0,0.416,0.0573,2.84e-05,0.202,0.35,137.894,167015,4,sport,"[0.8, 0.9, 1]"
Like A Soccer Mom,Ski Mask The Slump God,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap']",0.78,0.654,10,-7.641,0,0.076,0.112,0.0,0.12,0.713,140.007,109819,4,sport,"[0.8, 0.9, 1]"
Audi.,Smokepurpp,"['melodic rap', 'miami hip hop', 'trap', 'underground hip hop']",0.793,0.366,7,-10.051,1,0.136,0.0214,0.0,0.0964,0.278,122.991,159522,4,sport,"[0.8, 0.9, 1]"
Rockstar Made,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",0.773,0.612,8,-5.73,1,0.232,0.0398,0.0,0.142,0.381,149.999,193575,4,sport,"[0.8, 0.9, 1]"
Bring The Hook,YoungBoy Never Broke Again,"['baton rouge rap', 'rap']",0.693,0.656,10,-7.684,0,0.392,0.0865,0.0,0.73,0.802,162.072,265185,4,sport,"[0.8, 0.9, 1]"
Mincemeat,Fukkit,"['dark trap', 'scream rap']",0.891,0.597,1,-6.347,1,0.691,0.00979,1.22e-05,0.105,0.464,155.977,101635,4,sport,"[0.8, 0.9, 1]"
Body Bag (feat. Lil Wayne),Rich The Kid,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']",0.564,0.744,6,-5.282,0,0.406,0.0917,0.0,0.109,0.528,79.186,149461,4,sport,"[0.8, 0.9, 1]"
Should've Ducked (feat. Pooh Shiesty),Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",0.786,0.657,2,-5.142,1,0.339,0.00892,0.0,0.309,0.485,144.898,192052,4,sport,"[0.8, 0.9, 1]"
SWITCH IT UP | ZWITCH 1T UP,Denzel Curry,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",0.567,0.723,9,-5.33,0,0.29,0.0121,0.0,0.264,0.272,128.463,175907,4,sport,"[0.8, 0.9, 1]"
Syphilis,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']",0.782,0.659,1,-3.103,1,0.249,0.0703,0.0,0.168,0.337,148.027,131761,4,sport,"[0.8, 0.9, 1]"
Crazy Story (feat. Lil Durk) - Remix,King Von,['chicago rap'],0.844,0.641,8,-4.893,0,0.363,0.014,3.27e-06,0.289,0.213,156.928,194980,4,sport,"[0.8, 0.9, 1]"
Memoirs of a Gorilla,$uicideboy$,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",0.844,0.98,1,-1.259,1,0.0535,0.303,0.000751,0.55,0.316,110.005,122253,4,sport,"[0.8, 0.9, 1]"
H2O,Ski Mask The Slump God,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap']",0.74,0.762,0,-1.313,1,0.33,0.189,0.0,0.4,0.892,139.943,139347,4,sport,"[0.8, 0.9, 1]"
Pemex,Shakewell,['dark trap'],0.796,0.666,1,-5.285,1,0.0604,0.0143,2.22e-06,0.114,0.261,74.981,156238,4,sport,"[0.8, 0.9, 1]"
On That Time,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",0.598,0.476,0,-3.673,1,0.0333,0.00584,0.0,0.265,0.0545,150.078,102422,4,sport,"[0.8, 0.9, 1]"
Dis & That,YoungBoy Never Broke Again,"['baton rouge rap', 'rap']",0.78,0.589,5,-7.9,0,0.316,0.0446,0.0,0.222,0.635,81.989,175522,4,sport,"[0.8, 0.9, 1]"
Killer Game (feat. Gemitaiz & Madman),Salmo,"['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap sardegna']",0.676,0.847,7,-4.992,1,0.291,0.0384,0.0,0.145,0.304,110.085,261160,4,sport,"[0.8, 0.9, 1]"
